50
['401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '413', '414', '415', '416', '417', '418', '419', '420', '421', '422', '423', '424', '425', '426', '427', '428', '429', '430', '431', '432', '433', '434', '435', '436', '437', '438', '439', '440', '441', '442', '443', '444', '445', '446', '447', '448', '449', '450']
440=>[HU: f_id=X9G-10222.03.2290011404, hw_v=H14, l_num=440, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266342, sw_v=0421]
407=>[HU: f_id=X9G-10222.03.2290011389, hw_v=H14, l_num=407, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266312, sw_v=0421]
427=>[HU: f_id=X9G-10222.03.2290011513, hw_v=H14, l_num=427, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266576, sw_v=0421]
414=>[HU: f_id=X9G-10222.03.2290011456, hw_v=H14, l_num=414, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266458, sw_v=0421]
401=>[HU: f_id=X9G-10222.03.2290011397, hw_v=H14, l_num=401, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266328, sw_v=0421]
412=>[HU: f_id=X9G-10222.03.2290011461, hw_v=H14, l_num=412, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266469, sw_v=0421]
447=>[HU: f_id=X9G-10222.03.2290011504, hw_v=H14, l_num=447, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266559, sw_v=0421]
434=>[HU: f_id=X9G-10222.03.2290011402, hw_v=H14, l_num=434, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266339, sw_v=0421]
445=>[HU: f_id=X9G-10222.03.2290011500, hw_v=H14, l_num=445, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266551, sw_v=0421]
421=>[HU: f_id=X9G-10222.03.2290011508, hw_v=H14, l_num=421, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266567, sw_v=0421]
432=>[HU: f_id=X9G-10222.03.2290011400, hw_v=H14, l_num=432, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266333, sw_v=0421]
441=>[HU: f_id=X9G-10222.03.2290011494, hw_v=H14, l_num=441, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266539, sw_v=0421]
419=>[HU: f_id=X9G-10222.03.2290011462, hw_v=H14, l_num=419, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266470, sw_v=0421]
406=>[HU: f_id=X9G-10222.03.2290011388, hw_v=H14, l_num=406, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266309, sw_v=0421]
417=>[HU: f_id=X9G-10222.03.2290011458, hw_v=H14, l_num=417, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266461, sw_v=0421]
404=>[HU: f_id=X9G-10222.03.2290011395, hw_v=H14, l_num=404, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266324, sw_v=0421]
439=>[HU: f_id=X9G-10222.03.2290011405, hw_v=H14, l_num=439, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266345, sw_v=0421]
426=>[HU: f_id=X9G-10222.03.2290011514, hw_v=H14, l_num=426, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266578, sw_v=0421]
437=>[HU: f_id=X9G-10222.03.2290011407, hw_v=H14, l_num=437, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266349, sw_v=0421]
424=>[HU: f_id=X9G-10222.03.2290011510, hw_v=H14, l_num=424, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266571, sw_v=0421]
413=>[HU: f_id=X9G-10222.03.2290011465, hw_v=H14, l_num=413, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266475, sw_v=0421]
411=>[HU: f_id=X9G-10222.03.2290011460, hw_v=H14, l_num=411, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266467, sw_v=0421]
446=>[HU: f_id=X9G-10222.03.2290011501, hw_v=H14, l_num=446, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266552, sw_v=0421]
433=>[HU: f_id=X9G-10222.03.2290011401, hw_v=H14, l_num=433, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266338, sw_v=0421]
444=>[HU: f_id=X9G-10222.03.2290011499, hw_v=H14, l_num=444, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266548, sw_v=0421]
431=>[HU: f_id=X9G-10222.03.2290011398, hw_v=H14, l_num=431, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266329, sw_v=0421]
420=>[HU: f_id=X9G-10222.03.2290011464, hw_v=H14, l_num=420, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266474, sw_v=0421]
409=>[HU: f_id=X9G-10222.03.2290011393, hw_v=H14, l_num=409, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266320, sw_v=0421]
429=>[HU: f_id=X9G-10222.03.2290011509, hw_v=H14, l_num=429, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266568, sw_v=0421]
418=>[HU: f_id=X9G-10222.03.2290011463, hw_v=H14, l_num=418, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266472, sw_v=0421]
416=>[HU: f_id=X9G-10222.03.2290011459, hw_v=H14, l_num=416, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266464, sw_v=0421]
405=>[HU: f_id=X9G-10222.03.2290011392, hw_v=H14, l_num=405, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266318, sw_v=0421]
403=>[HU: f_id=X9G-10222.03.2290011391, hw_v=H14, l_num=403, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266316, sw_v=0421]
438=>[HU: f_id=X9G-10222.03.2290011406, hw_v=H14, l_num=438, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266348, sw_v=0421]
449=>[HU: f_id=X9G-10222.03.2290011502, hw_v=H14, l_num=449, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266555, sw_v=0421]
436=>[HU: f_id=X9G-10222.03.2290011408, hw_v=H14, l_num=436, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266351, sw_v=0421]
425=>[HU: f_id=X9G-10222.03.2290011512, hw_v=H14, l_num=425, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266574, sw_v=0421]
423=>[HU: f_id=X9G-10222.03.2290011506, hw_v=H14, l_num=423, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266562, sw_v=0421]
410=>[HU: f_id=X9G-10222.03.2290011394, hw_v=H14, l_num=410, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266322, sw_v=0421]
443=>[HU: f_id=X9G-10222.03.2290011498, hw_v=H14, l_num=443, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266546, sw_v=0421]
430=>[HU: f_id=X9G-10222.03.2290011511, hw_v=H14, l_num=430, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266572, sw_v=0421]
450=>[HU: f_id=X9G-10222.03.2290011505, hw_v=H14, l_num=450, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266561, sw_v=0421]
408=>[HU: f_id=X9G-10222.03.2290011390, hw_v=H14, l_num=408, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266313, sw_v=0421]
428=>[HU: f_id=X9G-10222.03.2290011515, hw_v=H14, l_num=428, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266580, sw_v=0421]
415=>[HU: f_id=X9G-10222.03.2290011457, hw_v=H14, l_num=415, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266459, sw_v=0421]
402=>[HU: f_id=X9G-10222.03.2290011396, hw_v=H14, l_num=402, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266326, sw_v=0421]
448=>[HU: f_id=X9G-10222.03.2290011503, hw_v=H14, l_num=448, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266556, sw_v=0421]
435=>[HU: f_id=X9G-10222.03.2290011403, hw_v=H14, l_num=435, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266341, sw_v=0421]
422=>[HU: f_id=X9G-10222.03.2290011507, hw_v=H14, l_num=422, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266564, sw_v=0421]
442=>[HU: f_id=X9G-10222.03.2290011495, hw_v=H14, l_num=442, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266540, sw_v=0421]
[32mIt's fine! Everything is unique.[0m
50
['451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463', '464', '465', '466', '467', '468', '469', '470', '471', '472', '473', '474', '475', '476', '477', '478', '479', '480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '494', '495', '496', '497', '498', '499', '500']
488=>[HU: f_id=X9G-10222.03.2290011432, hw_v=H14, l_num=488, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266407, sw_v=0421]
499=>[HU: f_id=X9G-10222.03.2290011469, hw_v=H14, l_num=499, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266486, sw_v=0421]
486=>[HU: f_id=X9G-10222.03.2290011435, hw_v=H14, l_num=486, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266413, sw_v=0421]
475=>[HU: f_id=X9G-10222.03.2290011561, hw_v=H14, l_num=475, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266653, sw_v=0421]
462=>[HU: f_id=X9G-10222.03.2290011546, hw_v=H14, l_num=462, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266625, sw_v=0421]
473=>[HU: f_id=X9G-10222.03.2290011563, hw_v=H14, l_num=473, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266656, sw_v=0421]
460=>[HU: f_id=X9G-10222.03.2290011537, hw_v=H14, l_num=460, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266607, sw_v=0421]
495=>[HU: f_id=X9G-10222.03.2290011466, hw_v=H14, l_num=495, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266478, sw_v=0421]
482=>[HU: f_id=X9G-10222.03.2290011430, hw_v=H14, l_num=482, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0266403, sw_v=0421]
