2000
1933=>[HU: f_id=X9G-10227.03.2290010479, hw_v=H14, l_num=1933, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0285058, sw_v=0421]
1770=>[HU: f_id=X9G-10227.03.2290010628, hw_v=H14, l_num=1770, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0285533, sw_v=0421]
1803=>[HU: f_id=X9G-10227.03.2290010756, hw_v=H14, l_num=1803, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0285912, sw_v=0421]
592=>[HU: f_id=X9G-10223.03.2290010173, hw_v=H14, l_num=592, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0268156, sw_v=0421]
971=>[HU: f_id=X9G-10224.03.2290010070, hw_v=H14, l_num=971, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0271540, sw_v=0421]
1742=>[HU: f_id=X9G-10227.03.2290010593, hw_v=H14, l_num=1742, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0285423, sw_v=0421]
1612=>[HU: f_id=X9G-10228.03.2290010024, hw_v=H14, l_num=1612, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0286166, sw_v=0421]
1379=>[HU: f_id=X9G-10229.03.2290010174, hw_v=H14, l_num=1379, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0290553, sw_v=0421]
1551=>[HU: f_id=X9G-10227.03.2290010106, hw_v=H14, l_num=1551, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0283917, sw_v=0421]
1421=>[HU: f_id=X9G-10227.03.2290010234, hw_v=H14, l_num=1421, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0284242, sw_v=0421]
99 =>[HU: f_id=X9G-10216.03.2290010167, hw_v=H14, l_num= 99, p_187=3GB035866A, p_191=3GB035866A, s_num=VWX9GA0241208, sw_v=0421]
